text,label,adverse
Patient reports being evicted from their previous residence due to inability to pay rent on time.,HOUSING,adverse
"Housing instability is causing significant stress for the patient, who has been unable to secure a lease agreement due to lack of credit history.",HOUSING,adverse
The patient's recent job loss has made it difficult for them to keep up with rent payments and they are concerned about becoming homeless.,HOUSING,adverse
Currently couch surfing among friends and family members' homes temporarily while searching for affordable housing options.,HOUSING,adverse
Homeless patient presenting with skin infections related poor hygiene practices associated w/lack of access clean water facilities & bathing areas,HOUSING,adverse
"The patient is experiencing difficulty finding safe, stable housing in an area that meets their needs and budget constraints",HOUSING,adverse
Patient expresses concerns over living conditions at current apartment complex including safety issues such as break-ins or violence within the community,HOUSING,adverse
Patient reports feeling unsafe in current neighborhood which may be impacting overall health outcomes,HOUSING,adverse
Pt describes overcrowding situation where multiple families share one unit leading increased risk exposure infectious diseases like COVID-19,HOUSING,adverse
Currently staying at homeless shelter but struggling find permanent solution given limited resources available through social services programs,HOUSING,adverse
Housing insecurity contributing factors mental health challenges such as anxiety depression,HOUSING,adverse
Homelessness making it challenging maintain regular medical appointments necessary manage chronic illnesses,HOUSING,adverse
Limited financial resources preventing pt from accessing adequate healthcare food security transportation other basic necessities required maintain good quality life,HOUSING,adverse
Difficulty maintaining medication regimen without consistent access reliable storage space refrigeration,HOUSING,adverse
Fear eviction if landlord discovers undocumented status despite paying rent on-time consistently,HOUSING,adverse
Unable afford utilities resulting intermittent electricity gas service disruptions negatively affecting daily functioning,HOUSING,adverse
Crowded living spaces exacerbating respiratory allergies asthma symptoms,HOUSING,adverse
Inadequate heating/cooling systems compromising comfort levels during extreme weather events,HOUSING,adverse
Experiencing discrimination based race ethnicity religion sexual orientation gender identity when attempting secure rental properties,HOUSING,adverse
Struggling navigate complicated legal processes associated with housing discrimination or eviction proceedings,HOUSING,adverse
Pt reports being forced leave previous residence due to landlord selling property without adequate notice,HOUSING,adverse
Patient experiencing homelessness as result domestic violence situation unable secure safe affordable housing on own,HOUSING,adverse
Currently living in substandard conditions including mold infestation pest control issues lack running water/working plumbing,HOUSING,adverse
Limited access transportation making it difficult attend medical appointments work/school necessary maintain stable income and health outcomes,HOUSING,adverse
Difficulty finding landlords willing accept Section 8 vouchers limiting options available for low-income renters,HOUSING,adverse
Fear retaliation from landlord if report unsafe living conditions such lead paint asbestos exposure,HOUSING,adverse
Unable afford rent increase resulting displacement from current residence,HOUSING,adverse
Experiencing difficulty navigating complex application process required qualify subsidized housing programs,HOUSING,adverse
Homelessness contributing factors substance use disorder mental illness history incarceration poverty unemployment etc.,HOUSING,adverse
Inability find pet-friendly rental properties preventing patient securing suitable long-term solution given importance companion animal emotional support well-being,HOUSING,adverse
Struggling pay mortgage payments leading foreclosure risk loss equity built over time,HOUSING,adverse
Crowded living spaces compromising privacy dignity personal safety concerns,HOUSING,adverse
Housing insecurity exacerbating food insecurity challenges limited storage space cooking facilities,HOUSING,adverse
Difficulty accessing reliable internet service negatively impacting ability complete online job applications school assignments telehealth visits stay connected loved ones during pandemic restrictions,HOUSING,adverse
Experiencing harassment intimidation neighbors community members based race ethnicity religion sexual orientation gender identity disability status etc.,HOUSING,adverse
Lack of affordable childcare services making it challenging balance work responsibilities parenting duties,HOUSING,adverse
Facing eviction after falling behind on rent payments following unexpected medical expenses,HOUSING,adverse
Chronic pain condition exacerbated by inadequate sleeping arrangements uncomfortable bedding surfaces,HOUSING,adverse
Undergoing cancer treatment requiring consistent access clean environment free potential infectious agents,HOUSING,adverse
Social isolation loneliness stemming inability host friends/family members due cramped quarters unsuitable entertaining spaces,HOUSING,adverse
